Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,UNSD Geographical Grouping
Incident,2014,January,Southern Asia,Europe,Iran (Islamic Republic of),1,0,1,2,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais,Calais Migrant Solidarity ,Western Europe
Incident,2014,January,Caribbean,Caribbean,Haiti,1,0,1,0,0,1,1,Drowning,Caribbean to US,"Off the coast of Fort Lauderdale, Florida",Local10.com,Caribbean
Cumulative Incident,2014,February,South-eastern Asia,South-eastern Asia,Myanmar,5,0,5,500,0,5,0,Sickness / lack of access to adequate healthcare,,"Hat Yai hospital, 182 Ratthakan, Hat Yai, Hat Yai District, Songkhla 90110",Manager Online,South-eastern Asia
Incident,2014,February,Unknown,Mediterranean,"Cameroon,Unknown",15,0,15,0,0,1,0,Violence,Western Mediterranean,Ceuta waters,L'Espresso,Uncategorized
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,February,Eastern Africa,Mediterranean,Somalia,2,0,2,121,0,2,0,Mixed or unknown,Central Mediterranean,Italy waters,Malta Today,Uncategorized
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,February,Central America,North America,Mexico,1,0,1,2,0,1,0,Violence,US-Mexico border crossing,"California-Mexico border near San Diego, California, USA",CNN,Northern America
Incident,2014,February,Caribbean,Caribbean,Haiti,8,0,8,0,0,0,0,Drowning,Haiti to Dominican Republic,Dominican Republic,AP,Caribbean
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,February,Southern Asia,Southern Asia,Bangladesh,1,0,1,0,0,1,0,Violence,,India,Daily Star,Southern Asia
Incident,2014,February,Eastern Africa,Eastern Africa,Ethiopia,11,6,17,0,0,0,0,Drowning,Horn of Africa to Yemen crossing,Gulf of Aden (left from Djibouti),IOM,Uncategorized
Incident,2014,February,Eastern Africa,Mediterranean,Somalia,7,0,7,0,0,0,0,Violence,Central Mediterranean,Libyan Coast,Libya herald,Uncategorized
Incident,2014,March,Central America,North America,Guatemala,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,March,Europe,Europe,Albania,1,0,1,0,0,1,0,Violence,English Channel to the UK,France - Calais (Killed on motorway),"La Voix du Nord, Daily Mail UK ",Western Europe
Incident,2014,March,Southern Asia,South-eastern Asia,Cambodia,5,0,5,4,2,3,0,Vehicle accident / death linked to hazardous transport,,"Bypass Road, Moo 7, Bang Phra subdistrict, Sri Racha district, Chonburi province, Thailand","Manager Online, INN News, Khomchudluek",South-eastern Asia
Incident,2014,March,Southern Asia,South-eastern Asia,Myanmar,2,0,2,10,0,2,0,Vehicle accident / death linked to hazardous transport,,"Moo 13, 38th km of the 4006 Langsuan-Pato Road, Pato district, Chumphon province, Thailand","INN News, Manager Online, Daily News",South-eastern Asia
Incident,2014,March,South America,Central America,Ecuador,1,0,1,0,1,0,1,Violence,US-Mexico border crossing,"Río Bravo, Ciudad Juarez, Chihuahua, Mexico",New York Times ,Central America
Incident,2014,March,Eastern Africa,Eastern Africa,"Ethiopia,Somalia",1,43,44,33,1,0,3,Drowning,Horn of Africa to Yemen crossing,Gulf of Aden,UNHCR,Uncategorized
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais (Hit by lorry in port),"France Info, Daily Mail UK ",Western Europe
Incident,2014,March,Central America,North America,El Salvador,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"King Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas",Northern America
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1,0,1,0,0,1,0,Mixed or unknown,English Channel to the UK,France - Calais (Body found on dock),Daily Mail UK ,Western Europe
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1,0,1,2,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais (Body found crushed in transporter),Daily Mail UK ,Western Europe
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,March,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Mediterranean,Global post,Uncategorized
Incident,2014,March,Western Asia,Mediterranean,Syrian Arab Republic,7,2,9,8,1,1,1,Drowning,Eastern Mediterranean,"Waters near Lesvos, Greece",Guardian,Uncategorized
Incident,2014,March,Middle Africa,Eastern Africa,Congo,251,0,251,50,0,0,0,Drowning,,"Lake Albert, Uganda/DRC",BBC (UNHCR),Eastern Africa
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,March,Central America,Central America,Guatemala,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,"Comitan, Chiapas, Mexico",El Siglo de Torreon,Central America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,March,Central America,North America,El Salvador,1,0,1,0,0,1,0,Accidental death,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Nogales International and Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Eastern Africa,Eastern Africa,Zimbabwe,17,0,17,0,0,0,0,Drowning,,"Limpopo River, Zimbabwe",AllAfrica,Eastern Africa
Incident,2014,April,Unknown,Mediterranean,Unknown,1,0,1,661,0,0,0,Mixed or unknown,Central Mediterranean,Italy waters,Deutsche Welle,Uncategorized
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Split Incident,2014,April,Eastern Africa,Northern Africa,"Eritrea,Ethiopia,Sudan,Unknown",10,0,10,309,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Sudanese-Libyan desert,Agence France Presse,Northern Africa
Incident,2014,April,Western Asia,Mediterranean,Syrian Arab Republic,8,1,9,5,2,0,1,Drowning,Eastern Mediterranean,Türkiye waters - en route to Greece,,Uncategorized
Incident,2014,April,Central America,Central America,"Honduras,Mexico",4,0,4,3,0,0,0,Violence,,"On la Bestia, near Arriaga, Chiapas, Mexico",Soy 502,Central America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Eastern Asia,South-eastern Asia,China,5,0,5,0,0,0,0,Violence,,Border China/Vietnam,New York Times,South-eastern Asia
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Southern Asia,South-eastern Asia,Cambodia,7,0,7,7,2,5,0,Vehicle accident / death linked to hazardous transport,,"344 Road, 39-40th km, Nong Sue Chang subdistrict, Nong Yai district, Chonburi province, Thailand","Naewna,  Post Today, Daily News, Manager Online",South-eastern Asia
Incident,2014,April,Central America,North America,Mexico,1,0,1,0,0,1,0,Violence,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,April,Eastern Africa,Mediterranean,Somalia,0,40,40,1,0,0,0,Drowning,Central Mediterranean,Coast of Libya,Relief Web,Uncategorized
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Caribbean,Caribbean,Unknown,6,3,9,16,0,0,0,Drowning,,"Dominican Republic, near Boca Chica and Juan Dolio",Dominican Today,Caribbean
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Eastern Africa,Mediterranean,"Eritrea,Ethiopia,Somalia",4,0,4,80,0,0,0,Drowning,Central Mediterranean,Coast of Libya,Relief Web ,Uncategorized
Incident,2014,May,Eastern Africa,Europe,Eritrea,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"A16 motorway, near Condette, France","Calais Migrant Solidarity, La Voix du Nord",Western Europe
Incident,2014,May,Unknown,Mediterranean,Unknown,22,7,29,36,0,0,0,Drowning,Eastern Mediterranean,Waters near Greece,BBC,Uncategorized
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Sub-Saharan Africa (P),Mediterranean,Unknown,44,33,77,53,0,0,0,Drowning,Central Mediterranean,Coast of Libya,Relief Web/UNHCR,Uncategorized
Incident,2014,May,Eastern Africa,Mediterranean,Eritrea,1,0,1,0,0,1,0,Mixed or unknown,Central Mediterranean,Mediterranean waters,ANSA Med,Uncategorized
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Southern Asia,South-eastern Asia,Myanmar,1,0,1,17,0,0,0,Vehicle accident / death linked to hazardous transport,,"Petchkasem road, Tamtua subdistrict, Takua Pa district, Phang Nga province, Thailand","Sanook, Manager Online, Thairath Online",South-eastern Asia
Incident,2014,May,Western Africa,Northern Africa,Niger,13,33,46,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Desert in southern Algeria,Reuters and Middle East eye,Northern Africa
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Violence,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Sub-Saharan Africa (P),Mediterranean,Unknown,17,200,217,226,12,2,3,Drowning,Central Mediterranean,International waters between Libya and Italy,ANSA Med and Relief Web. Also see NYT http://www.nytimes.com/2014/05/13/world/europe/at-least-14-die-as-migrant-boat-headed-for-italy-sinks-off-libyan-coast.html?_r=0,Uncategorized
Incident,2014,May,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Southern Asia,Mediterranean,Afghanistan,1,0,1,0,0,1,1,Accidental death,Eastern Mediterranean,Greece,Afghan immigrant dies in back of truck,Uncategorized
Incident,2014,May,Northern Africa,Europe,Sudan,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"Calais, France","Calais Migrant Solidarity, La Voix du Nord",Western Europe
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,May,Eastern Africa,Eastern Africa,"Ethiopia,Somalia",62,0,62,0,0,0,0,Drowning,Horn of Africa to Yemen crossing,Gulf of Aden,New Vision,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Unknown,Mediterranean,Unknown,3,0,3,0,0,0,0,Mixed or unknown,Central Mediterranean,Italian waters,Reuters,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Middle Africa,Mediterranean,Central African Republic,4,0,4,0,0,0,0,Drowning,Central Mediterranean,Italian waters,The Guardian,Uncategorized
Incident,2014,June,Unknown,Mediterranean,Unknown,3,2,5,0,0,0,0,Drowning,Central Mediterranean,Italian waters,The Guardian,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Unknown,Mediterranean,Unknown,10,0,10,39,0,0,0,Drowning,Central Mediterranean,Between Libya and Sicily,Reuters,Uncategorized
Incident,2014,June,Southern Asia,South-eastern Asia,Cambodia,6,0,6,13,5,1,0,Vehicle accident / death linked to hazardous transport,,"Highway 304, Chachoengsao-Kabinburi Rd, Muangmai subdistrict, Ratchasan District, Chachoengsao Province, Thailand","Manager Online, Thairath",South-eastern Asia
Incident,2014,June,Western Asia,Mediterranean,Syrian Arab Republic,1,0,1,356,0,0,0,Mixed or unknown,Central Mediterranean,Central Med Route - Sicily,BBC ,Uncategorized
Incident,2014,June,Southern Asia,South-eastern Asia,Cambodia,2,0,2,16,1,1,0,Vehicle accident / death linked to hazardous transport,,"Moo 4, Nong Yai subdistrict, Nong Yai district, Chonburi province, Thailand","Kom Chad Luek, Khao Sod, Manager Online ",South-eastern Asia
Incident,2014,June,Unknown,Northern Africa,Unknown,0,29,29,0,0,0,0,Drowning,Western Africa / Atlantic route to the Canary Islands,Between North Africa and Canary Islands,La Vanguardia,Uncategorized
